2020-08-17_11-37-17
DS2
±àºÅ,ÊýÖµ
PA000                ,0000
PA001               ,0000
PA002                ,0000
PA003                ,0000
PA004                ,0000
PA005                ,0000
PA006                ,0000
PA007                ,0000
PA008                ,0000
PA009                ,0010
PA00B                ,0001
PA00D                ,0001
PA010                ,0301
PA012                ,12
PA015                ,1
PA016                ,0035
PA100                ,1000
PA101                ,800
PA102                ,1000
PA103                ,100
PA104                ,400
PA105                ,2000
PA106                ,400
PA109                ,0
PA10A                ,0
PA10B                ,0000
PA10C                ,200
PA10D                ,0
PA10E                ,0
PA10F                ,0
PA121                ,100
PA122                ,100
PA123                ,0
PA124                ,0
PA125                ,100
PA131                ,0
PA132                ,0
PA135                ,0
PA136                ,0
PA139                ,0000
PA200                ,0000
PA201                ,0000
PA202                ,0000
PA205                ,65535
PA207                ,0000
PA20E                ,2000
PA210                ,0
PA212                ,2500
PA216                ,0
PA217                ,0
PA218               ,1
PA300                ,600
PA301                ,100
PA302                ,200
PA303                ,300
PA304                ,500
PA305                ,0
PA306                ,0
PA307                ,40
PA308                ,0
PA30A                ,0000
PA30B                ,0000
PA310                ,0000
PA311                ,100
PA312                ,50
PA324                ,300
PA400                ,30
PA401                ,40
PA402                ,400
PA403                ,400
PA404                ,100
PA405               ,100
PA406                ,400
PA407                ,1500
PA408                ,0000
PA409                ,5000
PA40A                ,70
PA40B                ,0
PA40C                ,5000
PA40D                ,70
PA40E                ,0
PA415               ,0
PA416               ,5000
PA417               ,70
PA418               ,0
PA419               ,5000
PA41A               ,70
PA41B               ,0
PA41F                ,0000
PA430              ,100
PA431              ,100
PA43D              ,0
PA456              ,15
PA460                ,0101
PA500                ,0000
PA501                ,0001
PA502                ,2002
PA503                ,2003
PA504                ,0004
PA505                ,0005
PA506                ,0006
PA507                ,0007
PA50A                ,0100
PA50B                ,0001
PA50C                ,0002
PA50D                ,0003
PA511                ,10
PA512                ,20
PA513                ,10
PA516                ,0
PA517                ,100
PA518               ,500
PA519                ,20
PA51B                ,1000
PA51E                ,80
PA520                ,50
PA522                ,7
PA524                ,65535
PA526                ,50
PA528                ,80
PA529                ,10000
PA52B                ,20
PA52F                ,0FFF
PA54D                ,500
PA54E                ,10
PA54F                ,0
PA560                ,400
PA561                ,100
PA590                ,0
PA591              ,40
PA5A0               ,0000
PA5A1                ,32768
PA5A3                ,500
PA5A4                ,100
PA5A5                ,100
PA5A6                ,1
PA5D0                ,0
PA600                ,1400
PA610                ,0100
PA611                ,0011
PA613                ,500
PA614                ,1000
PA615                ,1000
PA616               ,1000
PA617                ,500
PA618               ,700
PA619                ,1000
PA630                ,0010
PA631                ,1000
PA632                ,100
PA633               ,0
